TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
8,exp20260303_051747,3,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38866,343.871
8,exp20260303_051747,1,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38863,343.873
8,exp20260303_051747,7,vendor-b,bf16,11008,8192,4096,2,128,1,8,selective,2048,32000,5728,6.38857,343.876
8,exp20260303_125225,3,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.46294,343.906
8,exp20260303_125225,0,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.46293,343.907
8,exp20260303_125225,2,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.46292,343.907
8,exp20260303_125225,1,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.46287,343.91
8,exp20260303_125225,4,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.46281,343.913
8,exp20260303_125225,5,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.46281,343.913
8,exp20260303_125225,6,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.46278,343.915
8,exp20260303_125225,7,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-uniform-1,2048,32000,5632,6.4625,343.93
8,exp20260303_170246,1,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.61041,344.031
8,exp20260303_170246,0,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.61037,344.033
8,exp20260303_170246,3,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.61036,344.033
8,exp20260303_170246,2,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.61028,344.038
8,exp20260303_170246,4,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.6102,344.042
8,exp20260303_170246,6,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.61017,344.043
2,exp20260303_132023,1,vendor-b,bf16,11008,8192,4096,2,128,2,4,full-block-1,2048,32000,23104,40.9717,344.044
8,exp20260303_170246,5,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.61014,344.045
8,exp20260303_170246,7,vendor-b,bf16,11008,8192,4096,2,64,1,16,selective,2048,32000,5760,6.60986,344.059
2,exp20260303_132023,0,vendor-b,bf16,11008,8192,4096,2,128,2,4,full-block-1,2048,32000,23104,40.969,344.067
2,exp20260303_151647,1,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-block-1,2048,32000,24128,43.0589,344.125
2,exp20260303_151647,0,vendor-b,bf16,11008,8192,4096,2,128,2,32,full-block-1,2048,32000,24128,43.0572,344.139
8,exp20260303_130612,6,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.11036,344.162
8,exp20260303_130612,5,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.11033,344.163
8,exp20260303_130612,2,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.11028,344.167
8,exp20260303_130612,1,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.11025,344.169
8,exp20260303_130612,4,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.11025,344.169
8,exp20260303_130612,3,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.1102,344.172
8,exp20260303_130612,0,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.11013,344.177
8,exp20260303_130612,7,vendor-b,bf16,11008,8192,4096,2,64,2,8,null,1024,32000,6848,5.11013,344.177
